Transaction Date,Post Date,Description,Category,Type,Amount,Memo
01/07/2023,01/08/2023,Amazon.com*QA8DT4Y43,Shopping,Sale,-62.54,
01/07/2023,01/08/2023,AMZN Mktp US*BY8Z58SB3,Shopping,Sale,-15.89,
01/07/2023,01/08/2023,Amazon.com*F16YI0SN3,Shopping,Sale,-16.79,
01/03/2023,01/04/2023,GROCERY WEEE!,Groceries,Sale,-59.74,
01/01/2023,01/03/2023,TST* Baked &amp; Wired,Food & Drink,Sale,-19.63,
01/02/2023,01/02/2023,Blink,Shopping,Sale,-3.18,
01/01/2023,01/02/2023,SQ *COMPASS COFFEE,Food & Drink,Sale,-11.44,
12/31/2022,01/01/2023,Alexa Skills*QF5QK5MZ3,Shopping,Sale,-0.85,
12/31/2022,01/01/2023,AMC 0349 COLUMBIA MALL,Entertainment,Sale,-17.47,
12/30/2022,01/01/2023,Amazon.com*3G4ZK0103,Shopping,Sale,-62.54,
12/30/2022,01/01/2023,Amazon.com*DT2QA5WZ3,Shopping,Sale,-12.18,
12/21/2022,12/30/2022,DUANE READE #14272,Health & Wellness,Adjustment,234.15,
12/29/2022,12/30/2022,AMZN Mktp US*A18I15YQ3,Shopping,Sale,-33.38,
12/29/2022,12/30/2022,Amazon.com*NA1TN8RL3,Shopping,Sale,-15.30,
12/28/2022,12/29/2022,AMZN Mktp US*W26TH8WD3,Shopping,Sale,-38.15,
12/28/2022,12/29/2022,AMZN Mktp US*VA82F0N43,Shopping,Sale,-30.73,
12/28/2022,12/29/2022,AMZN Mktp US*O69CA1YV3,Shopping,Sale,-25.96,
12/28/2022,12/28/2022,Amazon.com*0X6CL5YF3,Shopping,Sale,-7.89,
12/28/2022,12/28/2022,AMZN Mktp US*DK8LL2FJ3,Shopping,Sale,-10.60,
12/27/2022,12/28/2022,HOMESENSE #0007,Shopping,Sale,-76.28,
12/23/2022,12/25/2022,MTA*NYCT PAYGO,Travel,Sale,-2.75,
12/21/2022,12/22/2022,DUANE READE #14272,Health & Wellness,Sale,-234.15,
12/22/2022,12/22/2022,Payment Thank You-Mobile,,Payment,3012.34,
12/20/2022,12/21/2022,AMZN Mktp US*HA8QL1TU2,Shopping,Sale,-13.77,
12/16/2022,12/18/2022,Amazon.com*1F2DQ0IM3,Shopping,Sale,-37.08,
12/16/2022,12/18/2022,Amazon.com*IY7BF12Y3,Shopping,Sale,-20.99,
12/15/2022,12/16/2022,Amazon.com*CU3PB5683,Shopping,Sale,-121.89,
12/14/2022,12/15/2022,AMZN Mktp US*SG3F12633,Shopping,Sale,-18.01,
12/14/2022,12/15/2022,Amazon.com*YO2EN8N23,Shopping,Sale,-108.10,
12/14/2022,12/15/2022,AMZN Mktp US*913AQ02V3,Shopping,Sale,-10.59,
12/13/2022,12/14/2022,AMZN Mktp US*199JK22Q3,Shopping,Sale,-21.19,
12/13/2022,12/14/2022,Amazon.com*KD8Z43FL3,Shopping,Sale,-17.20,
12/13/2022,12/14/2022,Amazon.com*EG5Z92FW3,Shopping,Sale,-76.31,
12/13/2022,12/13/2022,Amazon.com*714U100U3,Shopping,Sale,-11.47,
12/12/2022,12/13/2022,AMZN Mktp US*YT57E3Q13,Shopping,Sale,-13.24,
12/09/2022,12/11/2022,Amazon.com*4X70T5YY3,Shopping,Sale,-38.64,
12/09/2022,12/09/2022,Amazon.com*MV5EM6RL3,Shopping,Sale,-38.15,
12/06/2022,12/07/2022,SAKS,Shopping,Sale,-673.05,
12/06/2022,12/07/2022,WHOLEFDS KMQ #10499,Groceries,Sale,-127.17,
12/05/2022,12/06/2022,AMZN Mktp US*X33MK9523,Shopping,Sale,-51.50,
12/04/2022,12/05/2022,COSTCO WHSE #1000,Shopping,Sale,-238.29,
12/02/2022,12/04/2022,Blink,Shopping,Sale,-3.18,
12/04/2022,12/04/2022,Amazon Prime*5G5N87ZC3,Bills & Utilities,Sale,-73.14,
11/30/2022,12/01/2022,ALEXA SKILLS*FW7OZ9R53 AM,Shopping,Sale,-0.85,
11/29/2022,11/30/2022,AMZN Mktp US*UD8BE7T53,Shopping,Sale,-378.35,
11/29/2022,11/30/2022,AMZN Mktp US*X62YT3WV3,Shopping,Sale,-28.61,
11/29/2022,11/30/2022,AMZN Mktp US*GI54K5R83,Shopping,Sale,-148.39,
11/28/2022,11/29/2022,AMZN Mktp US*HW3999752,Shopping,Sale,-42.39,
11/29/2022,11/29/2022,Amazon.com*EN3RI66U3,Shopping,Sale,-16.74,
11/26/2022,11/28/2022,SUSHI NAKAZAWA DC,Food & Drink,Sale,-547.80,
11/27/2022,11/27/2022,REDEMPTION CREDIT,Fees & Adjustments,Adjustment,82.53,
11/24/2022,11/25/2022,AMZN Mktp US*HW64G4GR1,Shopping,Sale,-10.59,
11/24/2022,11/24/2022,Amazon.com*HW6BQ25A0,Shopping,Sale,-18.83,
11/23/2022,11/24/2022,Amazon.com*HW8GM30R1,Shopping,Sale,-42.38,
11/21/2022,11/22/2022,AMZN Mktp US*HW8PP43E0,Shopping,Sale,-42.39,
11/22/2022,11/22/2022,Payment Thank You-Mobile,,Payment,1421.53,
11/20/2022,11/21/2022,Amazon.com*HI8X98P22,Shopping,Sale,-13.75,
11/20/2022,11/21/2022,Amazon.com*HW5WU1OD0,Shopping,Sale,-9.79,
