Transaction Date,Post Date,Description,Category,Type,Amount,Memo
01/07/2023,01/08/2023,DD DOORDASH BENGONGST,Food & Drink,Sale,-20.75,
01/07/2023,01/08/2023,DD DOORDASH KYOTOMATC,Food & Drink,Sale,-23.31,
12/30/2022,01/01/2023,DD DOORDASH HONEYPIGB,Food & Drink,Sale,-33.56,
12/21/2022,12/30/2022,DUANE READE #14389,Health & Wellness,Adjustment,111.72,
12/24/2022,12/26/2022,STARBUCKS STORE 57963,Food & Drink,Sale,-50.00,
12/24/2022,12/26/2022,STARBUCKS STORE 57963,Food & Drink,Sale,-8.29,
12/24/2022,12/25/2022,Payment Thank You-Mobile,,Payment,200.00,
12/21/2022,12/22/2022,DUANE READE #14389,Health & Wellness,Sale,-111.72,
12/17/2022,12/18/2022,STARBUCKS 800-782-7282,Food & Drink,Sale,-10.00,
12/17/2022,12/18/2022,DD DOORDASH ANLOI,Food & Drink,Sale,-48.35,
12/17/2022,12/18/2022,DD DOORDASH BENGONGST,Food & Drink,Sale,-21.14,
12/14/2022,12/15/2022,DOORDASH DASHPASS,Food & Drink,Sale,-9.99,
12/10/2022,12/11/2022,DD DOORDASH CHICK-FIL,Food & Drink,Sale,-22.57,
12/06/2022,12/07/2022,DD DOORDASH CHICK-FIL,Food & Drink,Sale,-26.62,
11/30/2022,12/01/2022,DD DOORDASH CHICK-FIL,Food & Drink,Sale,-47.68,
11/24/2022,11/25/2022,DD DOORDASH KUNGFUTEA,Food & Drink,Sale,-60.31,
11/24/2022,11/24/2022,Payment Thank You-Mobile,,Payment,493.69,
11/19/2022,11/20/2022,STARBUCKS 800-782-7282,Food & Drink,Sale,-25.00,
11/19/2022,11/20/2022,DD DOORDASH KUNGFUTEA,Food & Drink,Sale,-44.08,
11/14/2022,11/15/2022,DOORDASH DASHPASS,Food & Drink,Sale,-9.99,
11/12/2022,11/13/2022,DD DOORDASH FIVEGUYSB,Food & Drink,Sale,-48.10,
11/05/2022,11/06/2022,DD DOORDASH PIZZA,Food & Drink,Sale,-46.79,
11/02/2022,11/03/2022,DD DOORDASH CHICK-FIL,Food & Drink,Sale,-29.64,
10/30/2022,10/31/2022,DD DOORDASH ANLOI,Food & Drink,Sale,-43.46,
10/26/2022,10/26/2022,DD DOORDASH BONCHON,Food & Drink,Sale,-77.38,
10/25/2022,10/26/2022,DD DOORDASH CHICK-FIL,Food & Drink,Sale,-38.00,
10/24/2022,10/24/2022,Payment Thank You-Mobile,,Payment,526.06,
10/22/2022,10/23/2022,DD DOORDASH AKIRARAME,Food & Drink,Sale,-71.81,
10/22/2022,10/23/2022,DD DOORDASH CHICK-FIL,Food & Drink,Sale,-34.44,
10/20/2022,10/21/2022,STARBUCKS 800-782-7282,Food & Drink,Sale,-25.00,
10/18/2022,10/18/2022,DD DOORDASH BONCHON,Food & Drink,Sale,-28.99,
10/15/2022,10/16/2022,DD DOORDASH KUNGFUTEA,Food & Drink,Sale,-60.78,
10/14/2022,10/16/2022,DOORDASH DASHPASS,Food & Drink,Sale,-9.99,
10/14/2022,10/14/2022,DOORDASH FEE CREDIT,Fees & Adjustments,Adjustment,2.00,
10/11/2022,10/12/2022,DD DOORDASH TACOBELL,Food & Drink,Sale,-7.46,
10/10/2022,10/11/2022,DD DOORDASH BENGONGST,Food & Drink,Sale,-19.98,
10/10/2022,10/11/2022,DD DOORDASH KYOTOMATC,Food & Drink,Sale,-18.32,
10/08/2022,10/09/2022,DD DOORDASH CHICK-FIL,Food & Drink,Sale,-16.08,
10/08/2022,10/09/2022,DD DOORDASH FIRSTWATC,Food & Drink,Sale,-32.01,
10/04/2022,10/05/2022,DD DOORDASH KUNGFUTEA,Food & Drink,Sale,-26.76,
10/01/2022,10/02/2022,ANNUAL MEMBERSHIP FEE,Fees & Adjustments,Fee,-49.00,
10/01/2022,10/02/2022,DD DOORDASH BENGONGST,Food & Drink,Sale,-20.37,
09/26/2022,09/27/2022,DD DOORDASH AKIRARAME,Food & Drink,Sale,-57.50,
09/24/2022,09/25/2022,Payment Thank You-Mobile,,Payment,185.62,
09/20/2022,09/20/2022,DD DOORDASH FIRSTWATC,Food & Drink,Sale,-24.77,
09/17/2022,09/18/2022,DD DOORDASH BENGONGST,Food & Drink,Sale,-18.99,
09/14/2022,09/15/2022,DOORDASH DASHPASS,Food & Drink,Sale,-9.99,
09/12/2022,09/13/2022,DD DOORDASH AKIRARAME,Food & Drink,Sale,-42.52,
09/10/2022,09/11/2022,DD DOORDASH BENGONGST,Food & Drink,Sale,-18.76,
09/07/2022,09/08/2022,DD DOORDASH POPEYES,Food & Drink,Sale,-18.47,
08/27/2022,08/28/2022,DD DOORDASH BONCHON,Food & Drink,Sale,-47.32,
08/26/2022,08/26/2022,DD DOORDASH MAIWANDKA,Food & Drink,Sale,-48.14,
08/24/2022,08/24/2022,DD DOORDASH PIZZA,Food & Drink,Sale,-39.71,
08/24/2022,08/24/2022,Payment Thank You-Mobile,,Payment,50.00,
08/21/2022,08/21/2022,STARBUCKS 800-782-7282,Food & Drink,Sale,-15.00,
08/15/2022,08/15/2022,DD DOORDASH TACOBELL,Food & Drink,Sale,-28.37,
08/14/2022,08/15/2022,DOORDASH DASHPASS,Food & Drink,Sale,-9.99,
08/10/2022,08/10/2022,DD DOORDASH MAIWANDKA,Food & Drink,Sale,-45.92,
08/05/2022,08/07/2022,DD DOORDASH POPEYES,Food & Drink,Sale,-16.30,
07/29/2022,07/31/2022,DD DOORDASH POPEYES,Food & Drink,Sale,-26.45,
07/27/2022,07/27/2022,PURCHASE INTEREST CHARGE,Fees & Adjustments,Fee,-5.74,
07/24/2022,07/24/2022,Payment Thank You-Mobile,,Payment,516.68,
07/18/2022,07/18/2022,DD DOORDASH SAFEWAY,Food & Drink,Sale,-48.54,
07/16/2022,07/17/2022,DD DOORDASH AKIRARAME,Food & Drink,Sale,-60.83,
07/14/2022,07/15/2022,DD DOORDASH POPEYES,Food & Drink,Sale,-25.85,
07/14/2022,07/15/2022,DOORDASH DASHPASS,Food & Drink,Sale,-9.99,
06/27/2022,06/27/2022,PURCHASE INTEREST CHARGE,Fees & Adjustments,Fee,-4.78,
06/21/2022,06/22/2022,Payment Thank You-Mobile,,Payment,300.00,
06/21/2022,06/22/2022,DD DOORDASH BLOWFISHP,Food & Drink,Sale,-45.90,
06/14/2022,06/15/2022,DOORDASH DASHPASS,Food & Drink,Sale,-9.99,
06/13/2022,06/14/2022,DD DOORDASH BLOWFISHP,Food & Drink,Sale,-45.90,
06/10/2022,06/12/2022,DD DOORDASH CAVA,Food & Drink,Sale,-50.50,
06/06/2022,06/06/2022,DD DOORDASH SAFEWAY,Food & Drink,Sale,-34.48,
06/01/2022,06/01/2022,DD DOORDASH CAVA,Food & Drink,Sale,-46.63,
05/31/2022,05/31/2022,STARBUCKS 800-782-7282,Food & Drink,Sale,-25.00,
05/30/2022,05/31/2022,DD DOORDASH TACOBELL,Food & Drink,Sale,-35.08,
05/24/2022,05/24/2022,Payment Thank You-Mobile,,Payment,200.00,
05/23/2022,05/23/2022,DOORDASH*SAFEWAY,Food & Drink,Sale,-46.35,
05/21/2022,05/22/2022,DOORDASH*POPEYES,Food & Drink,Sale,-20.62,
05/17/2022,05/18/2022,DD DOORDASH ANLOI,Food & Drink,Sale,-42.30,
05/16/2022,05/17/2022,STARBUCKS 800-782-7282,Food & Drink,Sale,-25.00,
05/12/2022,05/15/2022,TIMELESS TEA,Food & Drink,Sale,-21.22,
05/14/2022,05/15/2022,DOORDASH DASHPASS,Food & Drink,Sale,-9.99,
05/13/2022,05/15/2022,CHIHULY G&amp;G TICKETS,Entertainment,Sale,-59.85,
05/12/2022,05/15/2022,SAM ADMISSIONS,Gifts & Donations,Sale,-38.98,
05/11/2022,05/13/2022,HAIDILAO HOT POT SEATTLE,Food & Drink,Sale,-190.07,
05/03/2022,05/04/2022,DD DOORDASH BLOWFISHP,Food & Drink,Sale,-45.35,
04/26/2022,04/27/2022,DD DOORDASH MCDONALDS,Food & Drink,Sale,-26.50,
04/24/2022,04/24/2022,Payment Thank You-Mobile,,Payment,91.88,
04/23/2022,04/24/2022,DD DOORDASH POKEFRESH,Food & Drink,Sale,-46.98,
04/15/2022,04/17/2022,DD DOORDASH POPEYES,Food & Drink,Sale,-14.53,
04/14/2022,04/15/2022,DD DOORDASH ANLOI,Food & Drink,Sale,-45.68,
04/12/2022,04/13/2022,DD DOORDASH TACOBELL,Food & Drink,Sale,-31.67,
03/24/2022,03/24/2022,Payment Thank You-Mobile,,Payment,132.36,
03/12/2022,03/13/2022,DD DOORDASH TACOBELL,Food & Drink,Sale,-26.81,
03/10/2022,03/11/2022,DD DOORDASH POPEYES,Food & Drink,Sale,-39.63,
03/04/2022,03/06/2022,DD DOORDASH KUNGFUTEA,Food & Drink,Sale,-17.41,
03/04/2022,03/06/2022,DD DOORDASH MCDONALDS,Food & Drink,Sale,-23.51,
02/27/2022,02/27/2022,STARBUCKS 800-782-7282,Food & Drink,Sale,-25.00,
02/24/2022,02/24/2022,Payment Thank You-Mobile,,Payment,153.17,
02/16/2022,02/17/2022,DD DOORDASH CHIPOTLE,Food & Drink,Sale,-24.81,
02/08/2022,02/09/2022,DOORDASH*MCDONALDS,Food & Drink,Sale,-21.46,
02/04/2022,02/06/2022,DOORDASH*POPEYES,Food & Drink,Sale,-26.06,
02/04/2022,02/06/2022,TST* BEN GONG'S TEA - GAI,Food & Drink,Sale,-35.84,
02/02/2022,02/03/2022,DOORDASH*MCDONALDS,Food & Drink,Sale,-14.91,
01/29/2022,01/30/2022,DD DOORDASH TACOBELL,Food & Drink,Sale,-15.48,
01/27/2022,01/28/2022,DD DOORDASH MCDONALDS,Food & Drink,Sale,-14.61,
01/24/2022,01/24/2022,Payment Thank You-Mobile,,Payment,675.71,
01/19/2022,01/20/2022,DOORDASH*THE HALAL GUY,Food & Drink,Sale,-27.01,
01/13/2022,01/14/2022,DD DOORDASH POPEYES,Food & Drink,Sale,-19.05,
01/08/2022,01/09/2022,DD DOORDASH MAIWANDKA,Food & Drink,Sale,-14.86,
01/06/2022,01/06/2022,DD DOORDASH TACOBELL,Food & Drink,Sale,-23.33,
12/28/2021,12/29/2021,DD DOORDASH MAIWANDKA,Food & Drink,Sale,-16.19,
12/26/2021,12/28/2021,CANOPY PHILADELPHIA ROOMS,Travel,Sale,-181.14,
12/27/2021,12/28/2021,DD DOORDASH ANLOI,Food & Drink,Sale,-52.89,
12/23/2021,12/26/2021,XUNYUSIKAO CHINATOWN,Food & Drink,Sale,-90.45,
12/25/2021,12/26/2021,HAPPY LAMB HOT POT,Food & Drink,Sale,-73.79,
12/24/2021,12/24/2021,ESCAPETHEROOMNYC.COM,Shopping,Sale,-177.00,
12/24/2021,12/24/2021,Payment Thank You-Mobile,,Payment,160.33,
