Transaction Date,Posted Date,Card No.,Description,Category,Debit,Credit
2023-01-04,2023-01-05,1073,PAYPAL *SPIRITAIR,Airfare,72.00,
2022-12-30,2023-01-02,1073,DRIVEEZMD REBILL,Gas/Automotive,25.00,
2023-01-02,2023-01-02,1073,GOOGLE *YouTube Videos,Entertainment,3.99,
2022-12-31,2023-01-02,1073,FANDANGO,Entertainment,87.36,
2022-12-31,2022-12-31,1073,CREDIT-TRAVEL REWARD,Payment/Credit,,38.83
2022-12-28,2022-12-29,1073,sunfounder,Merchandise,50.40,
2022-12-28,2022-12-28,1073,store.rakwireless.com,Merchandise,123.64,
2022-12-23,2022-12-26,1073,DRIVEEZMD REBILL,Gas/Automotive,25.00,
2022-12-23,2022-12-26,1073,DRIVEEZMD MPC,Gas/Automotive,25.00,
2022-12-24,2022-12-26,1073,PET BARN (FULTON),Merchandise,55.05,
2022-12-24,2022-12-26,1073,Google YouTube TV,Entertainment,58.29,
2022-12-24,2022-12-26,1073,Google YouTubePremium,Entertainment,11.99,
2022-12-24,2022-12-26,1073,GROCERY WEEE!,Merchandise,92.43,
2022-12-23,2022-12-24,1073,MTA*NYCT PAYGO,Other Travel,2.75,
2022-12-22,2022-12-23,1073,UBER   TRIP,Other Travel,26.33,
2022-12-22,2022-12-23,1073,UBER   TRIP,Other Travel,12.66,
2022-12-21,2022-12-23,1073,Muji Hudson Yards,Merchandise,49.90,
2022-12-21,2022-12-22,1073,JONGRO BBQ (NEW),Dining,268.94,
2022-12-20,2022-12-21,4869,DUANE READE #14134,Health Care,21.52,
2022-12-19,2022-12-21,4869,MAPLE LAWN B P,Gas/Automotive,2.00,
2022-12-19,2022-12-21,4869,EXXONMOBIL    47866793,Gas/Automotive,44.52,
2022-12-19,2022-12-20,4869,ROOT INSURANCE,Insurance,121.83,
2022-12-16,2022-12-19,4869,DRIVEEZMD REBILL,Gas/Automotive,25.00,
2022-12-14,2022-12-17,4869,PP*APPLE.COM/BILL,Merchandise,3.17,
2022-12-14,2022-12-15,4869,ROOT INSURANCE,Insurance,3.08,
2022-12-11,2022-12-12,4869,TST* LAO SZE CHUAN,Dining,297.87,
2022-12-10,2022-12-10,4869,CAPITAL ONE MOBILE PYMT,Payment/Credit,,2325.80
2022-12-10,2022-12-10,4869,GOOGLE *BAHAMUT,Phone/Cable,3.49,
2022-12-07,2022-12-10,4869,PP*APPLE.COM/BILL,Merchandise,9.99,
2022-12-08,2022-12-09,4869,GOOGLE *YouTube TV,Entertainment,10.59,
2022-12-07,2022-12-07,4869,MINT MOBILE,Phone/Cable,56.61,
2022-12-05,2022-12-07,4869,MWAA DCA,Dining,12.00,
2022-12-04,2022-12-06,4869,ALASKA AIR  0272319074795,Airfare,30.00,
2022-12-04,2022-12-06,4869,ALASKA AIR  0272319074794,Airfare,30.00,
2022-12-04,2022-12-06,4869,DRIVEEZMD MPC,Gas/Automotive,2.30,
2022-12-04,2022-12-05,4869,COSTCO GAS #1000,Gas/Automotive,52.85,
2022-11-30,2022-12-01,4869,IKEA 425727196,Merchandise,128.52,
2022-11-27,2022-11-28,4869,CREDIT-TRAVEL REWARD,Payment/Credit,,42.26
2022-11-27,2022-11-28,4869,GROCERY WEEE!,Merchandise,123.86,
2022-11-26,2022-11-28,4869,TST* Gyuzo,Dining,135.16,
2022-11-27,2022-11-28,4869,GOOGLE *YouTube Videos,Entertainment,3.99,
2022-11-26,2022-11-28,4869,Lifelab Pro,Merchandise,19.85,
2022-11-24,2022-11-25,4869,GOOGLE *YouTube TV,Internet,58.29,
2022-11-24,2022-11-25,4869,GOOGLE *YouTubePremium,Internet,11.99,
2022-11-20,2022-11-21,4869,BENGONGS TEA ELLICOTT,Dining,14.58,
2022-11-19,2022-11-21,4869,ROOT INSURANCE,Insurance,105.17,
2022-11-18,2022-11-21,4869,MAPLE LAWN B P,Gas/Automotive,2.00,
2022-11-17,2022-11-18,4869,Samsung,Merchandise,524.69,
2022-11-15,2022-11-15,4869,CAPITAL ONE MEMBER FEE,Fee/Interest Charge,95.00,
2022-11-13,2022-11-14,4869,GROCERY WEEE!,Merchandise,108.40,
2022-11-12,2022-11-14,4869,ALASKA AIR  0274401056281,Airfare,118.99,
2022-11-12,2022-11-14,4869,ALASKA AIR  0274401056276,Airfare,118.99,
2022-11-12,2022-11-14,4869,ALASKA AIR  0272317019502,Airfare,228.60,
2022-11-12,2022-11-14,4869,ALASKA AIR  0272317019501,Airfare,228.60,
2022-11-13,2022-11-14,4869,COLONIAL PARKING #771F,Gas/Automotive,1.00,
2022-11-10,2022-11-11,4869,ADIDAS US ONLINE STORE,Merchandise,153.13,
2022-11-10,2022-11-10,4869,CAPITAL ONE MOBILE PYMT,Payment/Credit,,3121.57
2022-11-10,2022-11-10,4869,GOOGLE *BAHAMUT,Entertainment,3.49,
2022-11-06,2022-11-08,4869,McDonalds 33966,Dining,16.08,
2022-11-07,2022-11-08,4869,TST* SUNSET RAW JUICE BAR,Dining,20.02,
2022-11-07,2022-11-08,4869,EERO,Merchandise,164.52,
2022-11-06,2022-11-07,4869,BENGONGS TEA ELLICOTT,Dining,13.52,
2022-11-05,2022-11-07,4869,McDonalds 33966,Dining,8.78,
2022-11-05,2022-11-07,4869,EXXONMOBIL    47866793,Gas/Automotive,70.13,
2022-11-01,2022-11-02,4869,ALI*www.taobao.com,Merchandise,38.33,
2022-11-01,2022-11-02,4869,ALI*www.taobao.com,Merchandise,16.83,
2022-10-29,2022-10-31,4869,McDonald's 33966,Dining,19.78,
2022-10-29,2022-10-29,4869,CREDIT-TRAVEL REWARD,Payment/Credit,,69.10
2022-10-24,2022-10-27,4869,TASTY MOMENT,Dining,62.40,
2022-10-27,2022-10-27,4869,TAOBAO.COM,Merchandise,4.50,
2022-10-22,2022-10-26,4869,RENAISSANCE HOTELS,Lodging,933.67,
2022-10-23,2022-10-26,4869,SANDBAR-GERSHWIN BAR,Dining,5.00,
2022-10-25,2022-10-25,4869,GROCERY WEEE!,Merchandise,76.72,
2022-10-24,2022-10-25,4869,CAMP BOW WOW COLUMBIA MD,Other Services,168.00,
2022-10-24,2022-10-25,4869,GOOGLE *YouTubePremium,Entertainment,11.99,
2022-10-23,2022-10-25,4869,7-ELEVEN 39992,Gas/Automotive,7.61,
2022-10-23,2022-10-25,4869,WDI NEW YORK LLC,Dining,76.00,
2022-10-23,2022-10-24,4869,10670 FIFTH AVENUE NYC,Merchandise,128.47,
2022-10-23,2022-10-24,4869,SQ *BLUE BOTTLE COFFEE,Dining,13.59,
2022-10-22,2022-10-24,4869,SUNOCO 0368298601,Gas/Automotive,67.23,
2022-10-22,2022-10-24,4869,MSG CONCESSIONS,Dining,12.00,
2022-10-22,2022-10-24,4869,"SQ *ICHIRAN USA., INC.",Dining,41.15,
2022-10-20,2022-10-22,4869,72780 - GOTT'S COURT PARK,Gas/Automotive,6.00,
2022-10-20,2022-10-21,4869,GYU KAKU COLUMBIA,Dining,171.50,
2022-10-20,2022-10-21,4869,TST* MASON'S FAMOUS LOBST,Dining,23.27,
2022-10-20,2022-10-21,4869,PAYPAL *ATT PREPAID,Phone/Cable,21.86,
2022-10-19,2022-10-20,4869,ROOT INSURANCE,Insurance,105.17,
2022-10-17,2022-10-18,4869,FULTON ANIMAL HOSPITAL LL,Professional Services,90.00,
2022-10-16,2022-10-17,4869,TAOBAO.COM,Merchandise,49.86,
2022-10-11,2022-10-12,4869,COSTCO WHSE #1000,Merchandise,195.14,
2022-10-12,2022-10-12,4869,COLLEGE TRANSCRIPT,Other,3.50,
2022-10-10,2022-10-10,4869,CAPITAL ONE MOBILE PYMT,Payment/Credit,,2392.96
2022-10-08,2022-10-10,4869,MONTGOMERY COUNTY PHOTO R,Other,40.00,
2022-10-09,2022-10-10,4869,IKEA 422480276,Merchandise,483.05,
2022-10-06,2022-10-08,4869,DRIVEEZMD MPC,Gas/Automotive,25.00,
2022-10-07,2022-10-07,4869,GROCERY WEEE!,Merchandise,70.59,
2022-10-06,2022-10-07,4869,CRATE&BARREL CB2 NOD,Merchandise,235.06,
2022-10-03,2022-10-03,4869,GOOGLE *YouTube Videos,Entertainment,24.99,
2022-10-02,2022-10-03,4869,McDonald's 33966,Dining,7.61,
2022-09-25,2022-09-26,4869,UBER   EATS,Dining,19.28,
2022-09-24,2022-09-26,4869,GOOGLE *YouTubePremium,Internet,11.99,
2022-09-22,2022-09-24,4869,DELTA AIR   SERVICE FEE,Airfare,5.00,
2022-09-22,2022-09-23,4869,SHOPS AT GONDA,Merchandise,18.37,
2022-09-20,2022-09-21,4869,EAGLE STORE,Merchandise,6.99,
2022-09-19,2022-09-20,4869,HTTP://WWW.GOGOAIR.COM,Internet,10.00,
2022-09-19,2022-09-20,4869,ROOT INSURANCE,Insurance,105.17,
2022-09-17,2022-09-19,4869,MR WISH TEA LLC,Dining,12.61,
2022-09-17,2022-09-19,4869,Uniqlo USA LLC UNIQLO_US-,Merchandise,172.45,
2022-09-16,2022-09-16,4869,CREDIT-TRAVEL REWARD,Payment/Credit,,26.81
2022-09-14,2022-09-15,4869,McDonald's 33966,Dining,12.49,
2022-09-13,2022-09-15,4869,MVA COLUMBIA,Other Services,325.40,
2022-09-11,2022-09-12,4869,GROCERY WEEE!,Merchandise,60.29,
2022-09-10,2022-09-12,4869,PAYPAL *NINTENDO,Internet,59.99,
2022-09-10,2022-09-10,4869,CAPITAL ONE MOBILE PYMT,Payment/Credit,,1200.00
2022-09-09,2022-09-10,4869,VINDATA REPORTS,Other Services,14.99,
2022-09-07,2022-09-08,4869,THOROUGHBRED AUTO CARE,Gas/Automotive,499.83,
2022-09-05,2022-09-07,4869,McDonald's 33966,Dining,22.20,
2022-09-04,2022-09-05,4869,McDonald's 33966,Dining,5.49,
2022-09-03,2022-09-05,4869,GRUBHUBBENGONGSTEA,Dining,20.28,
2022-09-01,2022-09-02,4869,McDonald's 33966,Dining,4.65,
2022-08-31,2022-09-01,4869,PROCTORU INC.,Other,30.00,
2022-08-31,2022-09-01,4869,McDonald's 33966,Dining,17.04,
2022-08-31,2022-09-01,4869,GROCERY WEEE!,Merchandise,82.01,
2022-08-29,2022-08-30,4869,TST* SUNSET RAW JUICE BAR,Dining,24.74,
2022-08-27,2022-08-29,4869,McDonald's 33966,Dining,3.60,
